city,region,deliverySchedule,rate
Apopa,San Salvador,Lunes a Sabado ,4
Ayutuxtepeque,San Salvador,Lunes a Sabado ,4
Cuscatancingo,San Salvador,Lunes a Sabado ,4
Mejicanos,San Salvador,Lunes a Sabado ,4
Soyapango,San Salvador,Lunes a Sabado ,4
San Salvador,San Salvador,Lunes a Sabado ,4
Ilopango,San Salvador,Lunes a Sabado ,4
San Marcos,San Salvador,Lunes a Sabado ,4
Ciudad Delgado,San Salvador,Lunes a Sabado ,4
Antiguo Cuscatlán,La Libertad ,Lunes a Sabado ,4
Santa Tecla,La Libertad ,Lunes a Sabado ,4